,GSM,GSE,Input,Output
7708,GSM1010768,,"FOSL2 ChIP-seq protocol v042211.1 on human MCF-7 MCF-7 mammary gland, adenocarcinoma = ",Assay name: ChIP-seq - Assay type: DNA binding - Target of assay: FOSL2 - Genome assembly: hg19 - Biosample term name: MCF-7 - Project: ENCODE - Organism: Homo sapiens - Life stage: adult - Age: 69 - Age units: year - Sex: female - Ethnicity: Caucasian - Health status: breast cancer (adenocarcinoma) - Classification: cell line - Investigated as: transcription factor $
11543,,, strain VC2010 (C. elegans wild isolate) whole organism 600 minutes post synchronization using egg bleaching WildType = ,Assay name: RNA-seq - Assay type: Transcription - Target of assay: None - Genome assembly: None - Biosample term name: whole organism - Project: modERN - Organism: Caenorhabditis elegans - Life stage: unknown - Age: unknown - Age units: None - Sex: unknown - Ethnicity: None - Health status: None - Classification: whole organisms - Investigated as: None $
15722,,, cerebellum male adult (53 years) Cerebellum tissue from a 53 year old healthy Hispanic male. = ,"Assay name: ChIP-seq - Assay type: DNA binding - Target of assay: None - Genome assembly: GRCh38,hg19 - Biosample term name: cerebellum - Project: Roadmap - Organism: Homo sapiens - Life stage: adult - Age: 53 - Age units: year - Sex: male - Ethnicity: Hispanic - Health status: healthy - Classification: tissue - Investigated as: None $"
2095,,,ChIP-seq against eGFP-nhr-237 in mixed stage (embryonic) worms. strain OP228 (unc-119(ed3) III; wgIs228) whole organism mixed stage (embryo) genetically modified using bombardment = ,"Assay name: ChIP-seq - Assay type: DNA binding - Target of assay: nhr-237 - Genome assembly: ce11,ce10 - Biosample term name: whole organism - Project: modENCODE - Organism: Caenorhabditis elegans - Life stage: mixed stage (embryonic) - Age: unknown - Age units: None - Sex: mixed - Ethnicity: None - Health status: None - Classification: whole organisms - Investigated as: transcription factor $"
2685,GSM669621,,"Design description: RNA-Seq polyA+ Breast; Library name: A01030; EDACC Genboree Experiment Page:; http://genboree.org/java-bin/project.jsp?projectName=XML%20Submissions%2FUCSF-UBC%2FEXPERIMENT%2FEDACC.5588; EDACC Genboree Sample Page:; http://genboree.org/java-bin/project.jsp?projectName=XML%20Submissions%2FUCSF-UBC%2FSAMPLE%2FEDACC.3470; ; For data usage terms and conditions, please refer to:; http://www.drugabuse.gov/funding/funding-opportunities/nih-common-fund/epigenomics-data-access-policies;   myoepithelial cell of mammary gland female adult (33 years) Breast myoepithelial cells with a CD10+ marker. Cells came from a healthy 33 year old African American female donor. Cells provided by the Thea Tlsty lab. = ",Assay name: RNA-seq - Assay type: Transcription - Target of assay: None - Genome assembly: None - Biosample term name: myoepithelial cell of mammary gland - Project: Roadmap - Organism: Homo sapiens - Life stage: adult - Age: 33 - Age units: year - Sex: female - Ethnicity: African American - Health status: healthy - Classification: primary cell - Investigated as: None $
7951,,, mucosa of rectum female adult (50 years) Human primary rectal mucosal tissue obtained from a healthy 50 year old white female donor. Sample was obtained through surgery from MGH Pathology department. = ,Assay name: RRBS - Assay type: DNA methylation - Target of assay: None - Genome assembly: None - Biosample term name: mucosa of rectum - Project: Roadmap - Organism: Homo sapiens - Life stage: adult - Age: 50 - Age units: year - Sex: female - Ethnicity: None - Health status: healthy - Classification: tissue - Investigated as: None $
15732,,,"ChIP-seq on transgenic flies expressing CG3281-eGFP fusion proteins. The IP was performed using an anti-GFP antibody. strain CG3281-GFP whole organism embryo (0-24 hours) genetically modified using site-specific recombination Transgenic D. mel line, stably expressing a C-terminal GFP fused to CG3281 = ","Assay name: ChIP-seq - Assay type: DNA binding - Target of assay: CG3281 - Genome assembly: dm6,dm3 - Biosample term name: whole organism - Project: modERN - Organism: Drosophila melanogaster - Life stage: embryonic - Age: 0-24 - Age units: hour - Sex: mixed - Ethnicity: None - Health status: None - Classification: whole organisms - Investigated as: transcription factor $"
2440,,GSE88076,"RNA-seq on K562 cells treated with an shRNA knockdown against UTP18. (UTP18_BGKLV32) K562 genetically modified using RNAi RNA-seq on K562 cells treated with an shRNA knockdown against UTP18. (UTP18_BGKLV32-61),RNA-seq on K562 cells treated with an shRNA knockdown against UTP18. (UTP18_BGKLV32-62) = ","Assay name: shRNA knockdown followed by RNA-seq - Assay type: Transcription - Target of assay: UTP18 - Genome assembly: GRCh38,hg19 - Biosample term name: K562 - Project: ENCODE - Organism: Homo sapiens - Life stage: adult - Age: 53 - Age units: year - Sex: female - Ethnicity: None - Health status: chronic myelogenous leukemia (CML) - Classification: cell line - Investigated as: RNA binding protein $"
3982,,,ChIP-seq against eGFP-zip-8 in mixed stage (embryonic) worms. strain OP327 (unc-119(ed3) III; wgIs327) whole organism mixed stage (embryo) genetically modified using bombardment = ,"Assay name: ChIP-seq - Assay type: DNA binding - Target of assay: zip-8 - Genome assembly: ce11,ce10 - Biosample term name: whole organism - Project: modENCODE - Organism: Caenorhabditis elegans - Life stage: mixed stage (embryonic) - Age: unknown - Age units: None - Sex: mixed - Ethnicity: None - Health status: None - Classification: whole organisms - Investigated as: transcription factor $"
10662,,GSE105970,"eGFP-NR2C2 ChIP-seq on human K562 K562 genetically modified using stable transfection K562 cell line stably expressing a C-terminal LAP-tag containing eGFP, fused to NR2C2 = ","Assay name: ChIP-seq - Assay type: DNA binding - Target of assay: NR2C2 - Genome assembly: GRCh38,hg19 - Biosample term name: K562 - Project: ENCODE - Organism: Homo sapiens - Life stage: adult - Age: 53 - Age units: year - Sex: female - Ethnicity: None - Health status: chronic myelogenous leukemia (CML) - Classification: cell line - Investigated as: transcription factor $"
7112,GSM537701,,"molecule: genomic DNA; disease: none; biomaterial_provider: Harvard University; biomaterial_type: Cell Line; line: hiPS-20b; lineage: induced pluripotent cells; differentiation_stage: undifferentiated; differentiation_method: none; passage: 20.0; medium: KSR; sex: Male; batch: 0/0/00; experiment_type: ChIP-Seq Input; extraction_protocol: SDS lysis; extraction_protocol_type_of_sonicator: Bioruptor; extraction_protocol_sonication_cycles: 1; chip_protocol: Input; chip_protocol_chromatin_amount: standard Design description: Human Chromatin IP REMC Sequencing on Illumina; Library name: Solexa-10232; EDACC Genboree Experiment Page:; http://genboree.org/java-bin/project.jsp?projectName=XML%20Submissions%2FBroad%2FEXPERIMENT%2FEDACC.2525; EDACC Genboree Sample Page:; http://genboree.org/java-bin/project.jsp?projectName=XML%20Submissions%2FBroad%2FSAMPLE%2FEDACC.2298; ; For data usage terms and conditions, please refer to:; http://www.drugabuse.gov/funding/funding-opportunities/nih-common-fund/epigenomics-data-access-policies; ; BED and WIG files were replaced on April 29, 2014  iPS-20b Human induced stem cell line derived from dermal fibroblasts. Cells have a karyotype of: Normal, 46XY [90%]; Abnormal, non clonal tetraploid [10%]. Cells are pluripotency tested on 3 germ layers in EB and teratomas. The cells were reprogrammed using a retrovirus containing 3 factors: KLF4, SOX2, OCT4.[PMID: 21293464]. Cells were provided by Harvard University and maintained on KSR medium. = ","Assay name: ChIP-seq - Assay type: DNA binding - Target of assay: None - Genome assembly: GRCh38,hg19 - Biosample term name: iPS-20b - Project: Roadmap - Organism: Homo sapiens - Life stage: adult - Age: 55 - Age units: year - Sex: male - Ethnicity: None - Health status: None - Classification: cell line - Investigated as: None $"
6055,,GSE96367,"Chip-Seq on STL010-human (fragmentation date: 2014-09-15) liver female child (4 years) Human liver tissue obtained from a healthy, 4 year old female donor = ","Assay name: ChIP-seq - Assay type: DNA binding - Target of assay: None - Genome assembly: GRCh38,hg19 - Biosample term name: liver - Project: ENCODE - Organism: Homo sapiens - Life stage: child - Age: 4 - Age units: year - Sex: female - Ethnicity: None - Health status: healthy - Classification: tissue - Investigated as: None $"
9007,,GSE31302,"RNA-seq on polyA-selected RNA from reproductive system, post-eclosion + 5-8 day (adult, male) strain 14021-0251.198 male reproductive system male adult 5-8 days post synchronization at eclosion stage = ",Assay name: RNA-seq - Assay type: Transcription - Target of assay: None - Genome assembly: None - Biosample term name: male reproductive system - Project: modENCODE - Organism: Drosophila simulans - Life stage: adult - Age: unknown - Age units: None - Sex: male - Ethnicity: None - Health status: None - Classification: tissue - Investigated as: None $
2463,GSM935360,,"lab: Yale; lab description: Snyder - Yale University; datatype: ChipSeq; datatype description: Chromatin IP Sequencing; cell: HeLa-S3; cell organism: human; cell description: cervical carcinoma; cell karyotype: cancer; cell lineage: ectoderm; cell sex: F; treatment: IFNg30; treatment description: Interferon gamma treatment - 30 minutes (Snyder); antibody: STAT1; antibody antibodydescription: rabbit polyclonal to STAT1 (alpha) p-91 (C-24). Antibody Target: STAT1; antibody targetdescription: transcription factor, activated by interferon signalling; antibody vendorname: Santa Cruz Biotech; antibody vendorid: sc-345; control: std; control description: Standard input signal for most experiments.; control: std; control description: Standard input signal for most experiments.; controlid: wgEncodeEH000611; labversion: remapped from hg18; replicate: 1 STAT1 ChIP-seq on human HeLa-S3 treated with IFNg for 30 minutes HeLa-S3 treated with Interferon gamma for 30 minutes Cervical adenocarcinoma = ",Assay name: ChIP-seq - Assay type: DNA binding - Target of assay: STAT1 - Genome assembly: hg19 - Biosample term name: HeLa-S3 - Project: ENCODE - Organism: Homo sapiens - Life stage: adult - Age: 31 - Age units: year - Sex: female - Ethnicity: African American - Health status: cervical adenocarcinoma - Classification: cell line - Investigated as: transcription factor $
10811,GSM670014,,sample alias: 141; sample common name: Adipose Nuclei; collection_method: surgery; donor_health_status: NA; molecule: genomic DNA; disease: none; tissue_type: Adipose Nuclei; passage_if_expanded: NA; donor_ethnicity: NA; donor_sex: Female; biomaterial_type: Primary Tissue; tissue_depot: abdomen; donor_id: 93; biomaterial_provider: Harvard University; donor_age: 41; chip_protocol_bead_type: Protein A-Sepharose 4B; chip_antibody: H3K36Me3; chip_protocol_chromatin_amount: 10 million cells; extraction_protocol: SDS lysis; chip_protocol_antibody_amount: 2-15 ug; chip_protocol_bead_amount: 70 ul bed volume; chip_protocol: Bernstein_BROAD_ENCODE_protocol; extraction_protocol_sonication_cycles: 1; chip_antibody_catalog: ab9050; chip_antibody_provider: Abcam; chip_antibody_lot: 499302; experiment_type: Histone H3K36me3; extraction_protocol_type_of_sonicator: Bioruptor  subcutaneous abdominal adipose tissue nuclear fraction female adult (41 year) Human primary nuclei derived from crude preps of adipose tissue obtained from the abdomen of a healthy 41 year old female donor. Sample was obtained through surgery from Harvard University. = ,"Assay name: ChIP-seq - Assay type: DNA binding - Target of assay: H3K36me3 - Genome assembly: GRCh38,hg19 - Biosample term name: subcutaneous abdominal adipose tissue - Project: Roadmap - Organism: Homo sapiens - Life stage: adult - Age: 41 - Age units: year - Sex: female - Ethnicity: None - Health status: healthy - Classification: tissue - Investigated as: histone,broad histone mark $"
14526,,GSE88500,The library contained in this experiment come from human upper lobe of left lung tissue. They are stranded PE101 Illumina Hi-Seq RAMPAGE libraries from rRNA-depleted Total RNA > 200 nucleotides in size. upper lobe of left lung male adult (37 years) Lung tissue obtained from GTEx for the Gingeras lab to conduct RNA-Seq assays on. = ,"Assay name: RAMPAGE - Assay type: Transcription - Target of assay: None - Genome assembly: GRCh38,hg19 - Biosample term name: upper lobe of left lung - Project: ENCODE - Organism: Homo sapiens - Life stage: adult - Age: 37 - Age units: year - Sex: male - Ethnicity: None - Health status: None - Classification: tissue - Investigated as: None $"
13169,,GSE105731,ARID2 ChIP-seq on human K562 K562 = ,"Assay name: ChIP-seq - Assay type: DNA binding - Target of assay: ARID2 - Genome assembly: GRCh38,hg19 - Biosample term name: K562 - Project: ENCODE - Organism: Homo sapiens - Life stage: adult - Age: 53 - Age units: year - Sex: female - Ethnicity: None - Health status: chronic myelogenous leukemia (CML) - Classification: cell line - Investigated as: chromatin remodeler $"
6271,GSM923452,,"lab: UW; lab description: Stamatoyannopoulous - University of Washington; datatype: RepliSeq; datatype description: Assessment of DNA Replication Timing; cell: HUVEC; cell organism: human; cell description: umbilical vein endothelial cells; cell karyotype: normal; cell lineage: mesoderm; cell sex: U; labexpid: DS9851; phase: G1b; phase description: Flow sorted, G1b phase corresponds to the second half of the first DNA content window; replicate: 1 Repli-seq of HUVEC S4 phase endothelial cell of umbilical vein S4 phase male newborn umbilical vein endothelial cells = ",Assay name: Repli-seq - Assay type: Replication timing - Target of assay: None - Genome assembly: hg19 - Biosample term name: endothelial cell of umbilical vein - Project: ENCODE - Organism: Homo sapiens - Life stage: newborn - Age: unknown - Age units: None - Sex: male - Ethnicity: None - Health status: unknown - Classification: primary cell - Investigated as: None $
12193,GSM1003807,,ZNF384 ChIP-seq mouse ES-E14 produced by the Snyder lab 129 ES-E14 mouse embryonic stem cell line E14 = ,"Assay name: ChIP-seq - Assay type: DNA binding - Target of assay: ZNF384 - Genome assembly: mm9,mm10 - Biosample term name: ES-E14 - Project: ENCODE - Organism: Mus musculus - Life stage: embryonic - Age: unknown - Age units: None - Sex: male - Ethnicity: None - Health status: None - Classification: cell line - Investigated as: transcription factor $"
44,,,"ChIP-seq on transgenic flies expressing mirr-eGFP fusion proteins. The IP was performed using an anti-GFP antibody. attP40 whole organism embryo (4-20 hours) genetically modified using site-specific recombination Transgenic D. mel line, stably expressing a C-terminal GFP fused to mirr = ",Assay name: ChIP-seq - Assay type: DNA binding - Target of assay: None - Genome assembly: dm6 - Biosample term name: whole organism - Project: modERN - Organism: Drosophila melanogaster - Life stage: embryonic - Age: 4-20 - Age units: hour - Sex: mixed - Ethnicity: None - Health status: None - Classification: whole organisms - Investigated as: None $
6941,,,HudsonAlpha human HSMM DNA Methylation Array skeletal muscle myoblast = ,Assay name: DNA methylation profiling by array assay - Assay type: DNA methylation - Target of assay: None - Genome assembly: None - Biosample term name: skeletal muscle myoblast - Project: ENCODE - Organism: Homo sapiens - Life stage: unknown - Age: unknown - Age units: None - Sex: unknown - Ethnicity: None - Health status: None - Classification: primary cell - Investigated as: None $
14315,,,"ChIP-seq on transgenic flies expressing CG4328-eGFP fusion proteins. The IP was performed using an anti-GFP antibody. attP-40 whole organism embryo (8-24 hours) genetically modified using site-specific recombination Transgenic D. mel line, stably expressing a C-terminal GFP fused to CG4328 = ","Assay name: ChIP-seq - Assay type: DNA binding - Target of assay: CG4328 - Genome assembly: dm6,dm3 - Biosample term name: whole organism - Project: modERN - Organism: Drosophila melanogaster - Life stage: embryonic - Age: 8-24 - Age units: hour - Sex: mixed - Ethnicity: None - Health status: None - Classification: whole organisms - Investigated as: transcription factor $"
15471,,,"RNA-seq on K562 cells treated with a CRISPR gRNA against SAFB. (SAFB-BGKcLV06) K562 genetically modified using CRISPR RNA-seq on K562 cells treated with a CRISPR gRNA against SAFB. (SAFB-BGKcLV06-30),RNA-seq on K562 cells treated with a CRISPR gRNA against SAFB. (SAFB-BGKcLV06-29) = ","Assay name: CRISPR genome editing followed by RNA-seq - Assay type: Transcription - Target of assay: SAFB - Genome assembly: GRCh38,hg19 - Biosample term name: K562 - Project: ENCODE - Organism: Homo sapiens - Life stage: adult - Age: 53 - Age units: year - Sex: female - Ethnicity: None - Health status: chronic myelogenous leukemia (CML) - Classification: cell line - Investigated as: RNA binding protein,chromatin remodeler $"
15437,,GSE105646,Chip-Seq on -human (fragmentation date:Mon Sep 26 2016 00:00:00 GMT-0500 (CDT) upper lobe of left lung female adult (51 year) = ,"Assay name: ChIP-seq - Assay type: DNA binding - Target of assay: None - Genome assembly: GRCh38,hg19 - Biosample term name: upper lobe of left lung - Project: ENCODE - Organism: Homo sapiens - Life stage: adult - Age: 51 - Age units: year - Sex: female - Ethnicity: None - Health status: None - Classification: tissue - Investigated as: None $"
12273,,GSE92060,BHLHE40 ChIP-seq on human HEK293T HEK293T = ,"Assay name: ChIP-seq - Assay type: DNA binding - Target of assay: BHLHE40 - Genome assembly: GRCh38,hg19 - Biosample term name: HEK293T - Project: ENCODE - Organism: Homo sapiens - Life stage: embryonic - Age: unknown - Age units: None - Sex: female - Ethnicity: None - Health status: unknown - Classification: cell line - Investigated as: transcription factor $"
11807,GSM1120303,,"Design description: polyA RNA sequencing of STL002 Esophagus Cells; Library name: polyA-RNA-seq_STL002EG_r1a; EDACC Genboree Experiment Page:; http://genboree.org/java-bin/project.jsp?projectName=XML%20Submissions%2FUCSD%2FEXPERIMENT%2FEDACC.15443; EDACC Genboree Sample Page:; http://genboree.org/java-bin/project.jsp?projectName=XML%20Submissions%2FUCSD%2FSAMPLE%2FEDACC.14001; ; For data usage terms and conditions, please refer to:; http://www.drugabuse.gov/funding/funding-opportunities/nih-common-fund/epigenomics-data-access-policies;   esophagus female adult (30 years) Esophagus tissue from a 30 year old female Caucasian human with bipolar disorder and an iron deficiency. Tissue provided by Shin Lin at Stanford University. = ","Assay name: RNA-seq - Assay type: Transcription - Target of assay: None - Genome assembly: GRCh38,hg19 - Biosample term name: esophagus - Project: Roadmap - Organism: Homo sapiens - Life stage: adult - Age: 30 - Age units: year - Sex: female - Ethnicity: Caucasian - Health status: Bipolar disorder and iron deficiency - Classification: tissue - Investigated as: None $"
13228,GSM847702,,"strain: iso1 (y; bw cn sp); developmental stage: E8-16; antibody name: HP1; manufacturer: White Lab; lot/batch#: N/A; catalog: N/A ChIP-seq against HP1b in D. melanogaster whole organisms (embryonic, 8-16 hour) strain yellow cinnabar brown speck whole organism embryo (8-16 hours) = ","Assay name: ChIP-seq - Assay type: DNA binding - Target of assay: Su(var)205 - Genome assembly: dm6,dm3 - Biosample term name: whole organism - Project: modENCODE - Organism: Drosophila melanogaster - Life stage: embryonic - Age: 8-16 - Age units: hour - Sex: unknown - Ethnicity: None - Health status: None - Classification: whole organisms - Investigated as: chromatin remodeler $"
528,GSM733703,,"lab: Broad; lab description: Bernstein - Broad Institute; datatype: ChipSeq; datatype description: Chromatin IP Sequencing; cell organism: human; cell description: umbilical vein endothelial cells; antibody antibodydescription: rabbit polyclonal. Antibody Target: H3K9me1; antibody targetdescription: Histone H3 (mono-methyl K9). Is associated with active and accessible regions. NOTE CONTRAST to H3K9me3 which is associated with repressive heterochromatic state.; antibody vendorname: abcam; antibody vendorid: ab8896; treatment: None; treatment description: No special treatment or protocol applies; control: std; control description: Standard input signal for most experiments.; controlid: wgEncodeEH000060; labversion: Illumina_GA2e and Illumina_GA2x; replicate: 1,3,2; softwareversion: ScriptureVPaperR3 H3K9me1 ChIP-seq on human endothelial cell of umbilical vein endothelial cell of umbilical vein male newborn umbilical vein endothelial cells = ","Assay name: ChIP-seq - Assay type: DNA binding - Target of assay: H3K9me1 - Genome assembly: GRCh38,hg19 - Biosample term name: endothelial cell of umbilical vein - Project: ENCODE - Organism: Homo sapiens - Life stage: newborn - Age: unknown - Age units: None - Sex: male - Ethnicity: Caucasian - Health status: None - Classification: primary cell - Investigated as: histone,broad histone mark $"
429,,GSE88022,"The libraries contained in this experiment come from independent growths of cell line NCI-H460, a male large cell lung carcinoma. They are stranded PE101 Illumina Hi-Seq RAMPAGE libraries from rRNA-depleted Total RNA > 200 nucleotides in size. NCI-H460 = ","Assay name: RAMPAGE - Assay type: Transcription - Target of assay: None - Genome assembly: GRCh38,hg19 - Biosample term name: NCI-H460 - Project: ENCODE - Organism: Homo sapiens - Life stage: unknown - Age: unknown - Age units: None - Sex: male - Ethnicity: None - Health status: carcinoma; large cell lung cancer - Classification: cell line - Investigated as: None $"
137,GSM1102740,,"sample alias: fKidney.H-24510d105; sample common name: Fetal Kidney; molecule: genomic DNA; disease: None; biomaterial_provider: University of Washington, Congenital Defects Lab. Ian Glass; biomaterial_type: Primary Tissue; tissue_type: Fetal Kidney; tissue_depot: UW; collection_method: fetal; donor_id: H-24510; donor_age: day 105; donor_health_status: NA; donor_sex: Male; donor_ethnicity: NA; experiment_type: Digital Genomic Footprinting; extraction_protocol: Qiagen minElut; dnase_protocol: http://www.roadmapepigenomics.org/protocols/type/experimental/ Design description: Digital Genomic Footprinting determination via DNase-seq; Library name: DGF.DS20786; EDACC Genboree Experiment Page:; http://genboree.org/java-bin/project.jsp?projectName=XML%20Submissions%2FUniversity%20of%20Washington%2FEXPERIMENT%2FEDACC.15568; EDACC Genboree Sample Page:; http://genboree.org/java-bin/project.jsp?projectName=XML%20Submissions%2FUniversity%20of%20Washington%2FSAMPLE%2FEDACC.14462; ; For data usage terms and conditions, please refer to:; http://www.drugabuse.gov/funding/funding-opportunities/nih-common-fund/epigenomics-data-access-policies;   kidney female embryo (105 days) Kidney tissue from a healthy day 105 male fetus from Ian Glass of University of Washington, Congenital Defects Lab. = ","Assay name: DNase-seq - Assay type: DNA accessibility - Target of assay: None - Genome assembly: GRCh38,hg19 - Biosample term name: kidney - Project: Roadmap - Organism: Homo sapiens - Life stage: embryonic - Age: 105 - Age units: day - Sex: female - Ethnicity: None - Health status: None - Classification: tissue - Investigated as: None $"
1568,,,"This is the ChIP-seq control of transgenic worms expressing T23F11.4-eGFP fusion proteins. strain OP709 (unc-119(tm4063); wgIs709 [T23F11.4::TY1::EGFP::3xFLAG + unc-119(+)]) whole organism late embryo (4 hours) using egg bleaching genetically modified using bombardment Transgenic C. elegans line, stably expressing a C-terminal GFP-FLAG tag fused to T23F11.4. = ",Assay name: ChIP-seq - Assay type: DNA binding - Target of assay: None - Genome assembly: ce11 - Biosample term name: whole organism - Project: modERN - Organism: Caenorhabditis elegans - Life stage: late embryonic - Age: 4 - Age units: hour - Sex: mixed - Ethnicity: None - Health status: None - Classification: whole organisms - Investigated as: None $
11111,,GSE83176,DNase-seq on 14.5 day mixed embryonic mouse retina C57BL/6 retina embryo (14.5 days) = ,Assay name: DNase-seq - Assay type: DNA accessibility - Target of assay: None - Genome assembly: mm10 - Biosample term name: retina - Project: ENCODE - Organism: Mus musculus - Life stage: embryonic - Age: 14.5 - Age units: day - Sex: mixed - Ethnicity: None - Health status: None - Classification: tissue - Investigated as: None $
2363,,, strain VC200 (rnt-1(ok351) I) whole organism hermaphrodite 680 minutes post synchronization using egg bleaching genetically modified using mutagen treatment DeletionMutant = ,Assay name: RNA-seq - Assay type: Transcription - Target of assay: rnt-1 - Genome assembly: None - Biosample term name: whole organism - Project: modERN - Organism: Caenorhabditis elegans - Life stage: unknown - Age: unknown - Age units: None - Sex: hermaphrodite - Ethnicity: None - Health status: None - Classification: whole organisms - Investigated as: transcription factor $
14184,,GSE101031, transverse colon female adult (53 years) EnTEX: Colon - Transverse = ,"Assay name: ChIP-seq - Assay type: DNA binding - Target of assay: H3K27ac - Genome assembly: GRCh38,hg19 - Biosample term name: transverse colon - Project: ENCODE - Organism: Homo sapiens - Life stage: adult - Age: 53 - Age units: year - Sex: female - Ethnicity: None - Health status: None - Classification: tissue - Investigated as: histone,narrow histone mark $"
16122,,,"ChIP-seq on transgenic flies expressing ATbp-eGFP fusion proteins. The IP was performed using an anti-GFP antibody. attP-40 whole organism embryo (0-14 hours) genetically modified using site-specific recombination Transgenic D. mel line, stably expressing a C-terminal GFP fused to ATbp = ","Assay name: ChIP-seq - Assay type: DNA binding - Target of assay: ATbp - Genome assembly: dm6,dm3 - Biosample term name: whole organism - Project: modERN - Organism: Drosophila melanogaster - Life stage: embryonic - Age: 0-14 - Age units: hour - Sex: mixed - Ethnicity: None - Health status: None - Classification: whole organisms - Investigated as: other context $"
8749,,GSE78542,"CSHL Long RNA Seq HPF cell total (SID38238,SID38239) fibroblast of lung female adult (83 years) and male adult (23 years) Normal Human Pulmonary Fibroblasts (HPF) = ","Assay name: RNA-seq - Assay type: Transcription - Target of assay: None - Genome assembly: GRCh38,hg19 - Biosample term name: fibroblast of lung - Project: ENCODE - Organism: Homo sapiens - Life stage: adult - Age: 83,23 - Age units: year - Sex: female,male - Ethnicity: Caucasian - Health status: negative for Bac/Fung/Myc, negative for HIV-1/HBV/HCV - Classification: primary cell - Investigated as: None $"
13226,,,"This is the ChIP-seq control of transgenic worms expressing HLH-15-eGFP fusion proteins. strain OP566 (unc-119(tm4063) III; wgIs566) whole organism hermaphrodite late embryo 3 hours post synchronization using egg bleaching genetically modified using bombardment Transgenic C. elegans line, stably expressing a C-terminal GFP-FLAG tag fused to HLH-15 = ","Assay name: ChIP-seq - Assay type: DNA binding - Target of assay: None - Genome assembly: ce11,ce10 - Biosample term name: whole organism - Project: modERN - Organism: Caenorhabditis elegans - Life stage: late embryonic - Age: unknown - Age units: None - Sex: hermaphrodite - Ethnicity: None - Health status: None - Classification: whole organisms - Investigated as: None $"
8199,GSM977051,,"datatype: RnaSeq; datatype description: Sequencing analysis of RNA expression; rnaextract: shortTotal; rnaextract description: Rna shorter than 200 nt that has not been seperated based on Poly Adenalyation; biorep: 094WC,093WC,093WC,094WC; labexpid: LID47615,LID47615,LID47616,LID47616; labversion: iIDR; readtype: 1x101; readtype description: Single 101 nt reads; replicate: 1,2; localization: cell; localization description: Whole cell; protocol: TAP-Only; protocol description: This kind of library was made from RNA < 200 nucleotides that were pre-treated with Tobacco Acid Pyrophosphatase to remove any 5' caps that would preclude cloning. Hence, both capped and 5' monophosphate RNAs will be cloned.; rnaextract: shortTotal; rnaextract description: Rna shorter than 200 nt that has not been seperated based on Poly Adenalyation; biorep: 093WC,094WC; labexpid: LID47615,LID47616; labversion: iIDR; readtype: 1x101; readtype description: Single 101 nt reads The libraries contained in this experiment come from saphenous vein endothelial primary whole cells, HSaVEC isolated from independent donors. They are stranded SE101 Illumina Hi-Seq RNA-Seq libraries from rRNA-depleted Total RNA < 200 nucleotides in size that was pre-treated with TAP prior to cloning. vein endothelial cell male adult (48 years) and male adult (52 years) Saphenous Vein Endothelial Cells (HSaVEC) from the thigh of a 52 year old caucasian male,Saphenous Vein Endothelial Cells (HSaVEC) from the thigh of a 48 year old caucasian male = ","Assay name: RNA-seq - Assay type: Transcription - Target of assay: None - Genome assembly: GRCh38,hg19 - Biosample term name: vein endothelial cell - Project: ENCODE - Organism: Homo sapiens - Life stage: adult - Age: 52,48 - Age units: year - Sex: male - Ethnicity: Caucasian - Health status: negative for Bac/Fung/Myc, negative for HIV-1/HBV/HCV - Classification: primary cell - Investigated as: None $"
5963,,,ChIP-seq against eGFP-daf-12 in L3 larva worms. strain OP167 (unc119(ed3);wgIs167(daf-12::TY1 EGFP FLAG;unc119)) whole organism L3 larva genetically modified using bombardment = ,Assay name: ChIP-seq - Assay type: DNA binding - Target of assay: daf-12 - Genome assembly: None - Biosample term name: whole organism - Project: modENCODE - Organism: Caenorhabditis elegans - Life stage: L3 larva - Age: unknown - Age units: None - Sex: mixed - Ethnicity: None - Health status: None - Classification: whole organisms - Investigated as: transcription factor $
16352,,GSE91428,The library contained in this experiment come from human sigmoid colon tissue. They are stranded PE101 Illumina Hi-Seq RAMPAGE libraries from rRNA-depleted Total RNA > 200 nucleotides in size. sigmoid colon female adult (51 year) Sigmoid colon tissue aliquot received by the Gingeras lab to conduct RNA-Seq assays on. = ,"Assay name: RAMPAGE - Assay type: Transcription - Target of assay: None - Genome assembly: GRCh38,hg19 - Biosample term name: sigmoid colon - Project: ENCODE - Organism: Homo sapiens - Life stage: adult - Age: 51 - Age units: year - Sex: female - Ethnicity: None - Health status: None - Classification: tissue - Investigated as: None $"
2793,,,"ChIP-seq on transgenic flies expressing CG6765-eGFP fusion proteins. The IP was performed using an anti-GFP antibody. strain CG6765-GFP whole organism embryo (0-24 hours) genetically modified using site-specific recombination Transgenic D. mel line, stably expressing a C-terminal GFP fused to CG6765 = ","Assay name: ChIP-seq - Assay type: DNA binding - Target of assay: CG6765 - Genome assembly: dm6,dm3 - Biosample term name: whole organism - Project: modERN - Organism: Drosophila melanogaster - Life stage: embryonic - Age: 0-24 - Age units: hour - Sex: mixed - Ethnicity: None - Health status: None - Classification: whole organisms - Investigated as: other context $"
